Command,Length,DwordStart,DwordEnd,FieldStart,FieldEnd,Name,Flag,Attribute,CheckCond,Comment
73ca0001,0x3,,,,,VVCP_VD_CONTROL_STATE,,,,
73c00004,0x6,,,,,VVCP_PIPE_MODE_SELECT,,,,
73c10003,0x5,,,,,VVCP_SURFACE_STATE,surface_state_number,dynamic,,
73c30002,0x4,,,,,VVCP_IND_OBJ_BASE_ADDR_STATE,,,,
,,1,,0,31,address low,,check_null,,
,,2,,0,31,address high,,waiver,,
,,3,,1,6,mocs,,waiver,,
73c40059,0x5b,,,,,VVCP_DPB_STATE,,,,
,,1,6,0,31,dpb entry 1,,check_match,Flag[surface_state_number] >= 2,
,,7,12,0,31,dpb entry 2,,check_match,Flag[surface_state_number] >= 3,
,,13,18,0,31,dpb entry 3,,check_match,Flag[surface_state_number] >= 4,
,,19,24,0,31,dpb entry 4,,check_match,Flag[surface_state_number] >= 5,
,,25,30,0,31,dpb entry 5,,check_match,Flag[surface_state_number] >= 6,
,,31,36,0,31,dpb entry 6,,check_match,Flag[surface_state_number] >= 7,
,,37,42,0,31,dpb entry 7,,check_match,Flag[surface_state_number] >= 8,
,,43,48,0,31,dpb entry 8,,check_match,Flag[surface_state_number] >= 9,
,,49,54,0,31,dpb entry 9,,check_match,Flag[surface_state_number] >= 10,
,,55,60,0,31,dpb entry 10,,check_match,Flag[surface_state_number] >= 11,
,,61,66,0,31,dpb entry 11,,check_match,Flag[surface_state_number] >= 12,
,,67,72,0,31,dpb entry 12,,check_match,Flag[surface_state_number] >= 13,
,,73,78,0,31,dpb entry 13,,check_match,Flag[surface_state_number] >= 14,
,,79,84,0,31,dpb entry 14,,check_match,Flag[surface_state_number] >= 15,
,,85,90,0,31,dpb entry 15,,check_match,Flag[surface_state_number] >= 16,
